id,host_response_rate,neighbourhood,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating
22250084,0.98,Park West,92101,Apartment,Entire home/apt,2,1,0,1,89,21,90
9195818,0.99,Mission Beach,92109,Condominium,Entire home/apt,9,3,4,6,610,20,88
18704473,1,Logan Heights,92113,House,Entire home/apt,5,1,1,2,100,5,96
22546743,0.67,Pacific Beach,92109,Apartment,Entire home/apt,4,1,1,2,200,5,100
34481343,0.9,Golden Hill,92102,Loft,Entire home/apt,4,1,0,1,180,25,95
4613374,1,Fairmont Park,92105,House,Entire home/apt,6,1,2,2,150,78,97
39111897,0.98,Mission Beach,92109,Apartment,Entire home/apt,2,1,1,1,124,6,87
8812104,1,University City,92122,Townhouse,Entire home/apt,2,1,1,1,178,33,94
23944100,1,Mission Beach,92109,Apartment,Entire home/apt,8,1,3,4,365,27,97
13743956,1,Ocean Beach,92107,Bungalow,Entire home/apt,4,1,1,2,159,68,99
31799298,1,Mount Hope,92102,House,Entire home/apt,16,3,3,8,200,34,86
1163324,1,Clairemont Mesa West,92117,House,Entire home/apt,6,2,3,3,180,48,96
35614062,0.99,South Park,92102,Guest suite,Entire home/apt,2,1,1,1,80,65,97
34200171,1,Hillcrest,92103,House,Entire home/apt,16,2.5,3,16,1000,5,96
17715343,1,North Clairemont,92117,House,Entire home/apt,4,3.5,4,4,725,2,80
26694013,1,Little Italy,92101,Loft,Entire home/apt,2,1,1,1,215,24,98
4031943,0,Carmel Valley,92130,Condominium,Entire home/apt,4,2,2,2,135,2,100
26195569,1,Ocean Beach,92107,House,Entire home/apt,6,1,2,4,450,58,94
12114843,0.86,Mission Beach,92109,Condominium,Entire home/apt,2,1,1,2,112,235,99
27812258,1,Little Italy,92101,Cottage,Entire home/apt,2,1,0,1,165,2,100
20648450,0,Golden Hill,92102,Loft,Entire home/apt,4,1,2,2,400,51,95
32236221,1,North Park,92104,Guest suite,Entire home/apt,2,1,0,1,125,19,96
21096393,1,Ocean Beach,92107,House,Private room,8,1,3,4,90,61,100
15971980,1,Mission Beach,92109,Apartment,Entire home/apt,6,1.5,2,3,225,6,100
37359259,1,East Village,92101,Apartment,Entire home/apt,6,2,2,3,259,22,100
17140986,0.99,East Village,92101,Apartment,Entire home/apt,3,1,1,1,150,9,89
35416520,1,Bay Terraces,92114,House,Entire home/apt,8,2,3,4,199,33,98
1751254,1,North Park,92104,Condominium,Entire home/apt,4,1,1,1,149,18,99
16948577,0.97,Sunset Cliffs,92107,House,Entire home/apt,8,3,4,4,995,17,98
40240834,0.99,East Village,92101,Apartment,Entire home/apt,9,1,0,1,129,12,93
14717525,1,Bay Ho,92117,House,Private room,2,1,1,1,80,43,98
16859080,1,Pacific Beach,92109,Boutique hotel,Private room,4,1,0,2,199,1,80
15549607,0.98,Mission Beach,92109,Condominium,Entire home/apt,6,2,2,3,350,8,83
2037362,1,La Jolla,92037,Villa,Private room,1,1,1,1,200,30,91
13574515,0.97,Pacific Beach,92109,House,Entire home/apt,14,3.5,5,6,611,20,91
38974424,0.98,East Village,92101,Apartment,Entire home/apt,2,1,0,1,78,2,80
9577502,1,Pacific Beach,92109,Condominium,Entire home/apt,2,1,1,1,130,112,99
17013952,1,Mission Beach,92109,Condominium,Entire home/apt,6,2,2,3,375,17,88
40583732,1,Cortez,92101,Apartment,Private room,2,2,0,1,100,1,100
26157043,0,North Park,92116,House,Entire home/apt,4,1,2,3,111,5,100
40800383,1,Pacific Beach,92109,House,Entire home/apt,4,2,2,2,95,1,100
12544563,0.97,Mission Beach,92109,Condominium,Entire home/apt,5,1,2,3,227,6,90
3153596,1,Rancho Penasquitos,92129,House,Private room,2,1,1,1,50,62,99
11911506,0.9,Mission Beach,92109,House,Entire home/apt,10,3,4,10,1100,14,93
18793654,1,South Park,92102,Townhouse,Entire home/apt,3,1,1,1,88,142,98
32065503,1,Pacific Beach,92109,Condominium,Entire home/apt,5,1.5,2,2,1000,23,91
23309975,0.99,East Village,92101,Apartment,Entire home/apt,10,3,3,7,449,92,86
16299356,1,Pacific Beach,92109,Cottage,Entire home/apt,3,1,1,1,129,209,97
28404087,1,Mission Beach,92109,Townhouse,Entire home/apt,6,2.5,2,4,203,20,92
32194915,0.33,Mira Mesa,92126,Townhouse,Private room,4,1,1,1,40,3,87
20915334,0.9,Park West,92103,Serviced apartment,Entire home/apt,5,1,1,3,350,1,80
1752549,1,Ocean Beach,92107,Bungalow,Entire home/apt,6,1,2,3,159,94,96
22230650,1,Little Italy,92101,Loft,Entire home/apt,4,1.5,1,1,155,84,93
35040448,1,East Village,92101,Serviced apartment,Hotel room,5,2,2,2,250,3,73
33192274,1,La Jolla,92037,House,Entire home/apt,6,2,3,3,490,13,98
32504429,1,Birdland,92123,House,Entire home/apt,8,3,4,4,250,5,76
6130536,0.92,Mission Beach,92109,Condominium,Entire home/apt,4,1,2,3,250,32,88
17556472,1,Pacific Beach,92109,House,Entire home/apt,6,1,2,4,235,3,100
17975448,1,Pacific Beach,92109,House,Entire home/apt,7,2,3,4,328,9,87
16150679,1,Midtown,92103,Apartment,Entire home/apt,4,1,1,2,49,99,93
20676538,1,Grantville,92108,Apartment,Entire home/apt,4,1,1,2,150,9,98
21077389,0.86,Carmel Valley,92130,House,Private room,4,1,2,3,120,6,100
5037556,1,Mission Beach,92109,Condominium,Entire home/apt,6,2,2,3,225,15,100
37370227,1,East Village,92101,Loft,Entire home/apt,6,1,0,2,299,40,96
36238608,1,Pacific Beach,92109,Apartment,Entire home/apt,2,1,0,1,95,21,95
2956102,1,Ocean Beach,92107,House,Private room,2,1,1,1,136,9,100
38723739,1,North Park,92104,House,Entire home/apt,2,1,0,4,67,1,100
16365952,0.97,Hillcrest,92103,House,Entire home/apt,12,5,6,6,889,124,98
37015481,1,East Village,92101,Apartment,Entire home/apt,2,1,1,1,95,5,100
19750636,1,Pacific Beach,92109,Hostel,Shared room,1,3,1,1,55,3,93
25812426,1,Sorrento Valley,92126,House,Private room,1,1,1,1,120,2,100
4324443,1,Del Mar Heights,92014,Loft,Entire home/apt,2,1,0,1,128,363,99
13574606,1,Mission Beach,92109,Apartment,Entire home/apt,6,1,1,2,275,9,87
33392550,1,Mission Beach,92109,Apartment,Entire home/apt,3,1,0,2,130,37,98
18407151,0.92,Rancho Penasquitos,92129,House,Private room,1,1,1,1,45,8,77
980232,1,Pacific Beach,92109,Apartment,Entire home/apt,6,2,2,3,328,4,100
32134408,1,Ocean Beach,92107,Condominium,Entire home/apt,6,2.5,2,3,411,10,88
39895390,1,Mission Beach,92109,Apartment,Entire home/apt,3,1,1,2,99,24,95
39842377,1,East Village,92101,Condominium,Entire home/apt,4,2,2,2,150,3,100
31073949,1,Golden Hill,92102,Apartment,Entire home/apt,5,2,2,5,89,37,94
528113,1,Park West,92103,Apartment,Entire home/apt,2,1,1,1,83,28,96
12793908,1,East Village,92101,Apartment,Entire home/apt,2,1,0,1,68,161,92
9986657,1,North Clairemont,92117,Bed and breakfast,Private room,2,1,1,1,62,46,95
18563929,1,Sherman Heights,92102,Loft,Entire home/apt,2,1,1,1,85,128,97
34399480,0.96,East Village,92101,Serviced apartment,Entire home/apt,4,1,1,2,170,11,100
32765799,1,Bay Park,92117,House,Entire home/apt,8,2,3,4,400,14,99
25693564,1,Pacific Beach,92109,House,Entire home/apt,8,2.5,3,3,389,56,100
35223147,1,La Jolla,92037,House,Private room,2,1.5,1,1,200,42,100
12169624,1,Rancho Penasquitos,92129,House,Private room,1,1,1,1,40,7,100
28472945,1,Logan Heights,92113,House,Entire home/apt,4,1,2,2,110,97,96
19745201,1,La Jolla,92037,Villa,Private room,6,2.5,2,4,300,82,98
41196385,1,Marina,92101,Condominium,Entire home/apt,10,1,0,2,299,1,100
24889768,1,Sunset Cliffs,92107,House,Private room,4,1,1,2,99,44,90
19699778,1,La Jolla,92037,Condominium,Entire home/apt,6,1.5,2,2,314,4,85
26363417,1,Mission Hill,92110,Apartment,Private room,2,1,1,1,59,31,99
23688005,1,North Park,92104,Guesthouse,Entire home/apt,4,1,1,2,99,160,98
